department,salary,avg_month_hours,experience,projects,promotion,work_accident,satisfaction,evaluation,left
support,low,307,4,7,0,0,0.1,0.92,1
support,low,140,3,2,0,0,0.37,0.46,1
support,low,255,4,7,0,0,0.11,0.94,1
technical,low,309,4,6,0,0,0.1,0.81,1
technical,low,128,3,2,0,0,0.38,0.54,1
technical,low,225,5,4,0,0,0.85,1.0,1
management,medium,226,5,5,0,0,0.85,0.91,1
IT,medium,308,4,7,0,0,0.11,0.93,1
IT,medium,244,5,6,0,0,0.1,0.95,1
IT,medium,132,3,2,0,0,0.36,0.56,1
IT,medium,286,4,6,0,0,0.11,0.94,1
IT,medium,161,4,6,0,0,0.81,0.7,1
product_mng,medium,153,3,2,0,0,0.43,0.54,1
product_mng,medium,264,6,4,0,0,0.9,0.98,1
product_mng,medium,223,5,5,0,1,0.76,0.86,1
product_mng,medium,135,3,2,0,0,0.43,0.5,1
IT,medium,277,3,2,0,0,0.74,0.99,1
product_mng,medium,275,4,5,0,0,0.09,0.77,1
product_mng,high,149,3,2,0,0,0.45,0.49,1
product_mng,low,295,4,7,0,0,0.09,0.87,1
product_mng,medium,277,4,6,0,0,0.11,0.97,1
product_mng,medium,306,4,7,0,0,0.11,0.79,1
product_mng,medium,295,4,6,0,0,0.1,0.83,1
marketing,medium,137,3,2,0,0,0.4,0.54,1
sales,low,157,3,2,0,0,0.43,0.56,1
accounting,low,142,3,2,0,0,0.39,0.56,1
support,low,140,3,2,0,0,0.45,0.54,1
technical,low,151,3,2,0,0,0.38,0.49,1
management,low,139,3,4,1,0,0.79,0.59,1
marketing,low,249,6,4,0,0,0.84,0.85,1
marketing,low,291,4,6,0,0,0.11,0.77,1
marketing,low,305,4,6,0,0,0.11,0.87,1
sales,low,232,3,5,0,0,0.17,0.84,1
sales,low,132,3,2,0,0,0.44,0.45,1
sales,low,130,3,2,0,0,0.37,0.57,1
sales,low,291,4,6,0,0,0.1,0.79,1
sales,low,130,3,2,0,0,0.4,0.5,1
sales,low,246,5,5,0,0,0.89,1.0,1
sales,low,143,3,2,0,0,0.42,0.48,1
sales,low,129,3,2,0,0,0.46,0.55,1
sales,low,255,4,6,0,0,0.09,0.83,1
sales,low,155,3,2,0,0,0.37,0.51,1
sales,low,265,4,6,0,0,0.1,0.77,1
sales,low,279,4,6,0,0,0.1,0.84,1
sales,low,284,4,6,0,0,0.11,0.97,1
sales,medium,221,6,5,0,0,0.9,1.0,1
sales,medium,154,3,2,0,0,0.38,0.52,1
sales,medium,147,3,2,0,0,0.36,0.52,1
sales,medium,150,3,2,0,0,0.42,0.46,1
sales,medium,267,4,7,0,0,0.09,0.94,1
sales,medium,158,3,2,0,0,0.43,0.52,1
accounting,medium,224,5,7,0,0,0.24,0.46,1
accounting,medium,257,5,4,0,0,0.91,1.0,1
accounting,medium,148,3,2,0,0,0.44,0.5,1
hr,medium,177,4,3,0,0,0.71,0.87,1
hr,medium,155,3,2,0,0,0.4,0.49,1
hr,medium,144,3,2,0,0,0.43,0.47,1
hr,high,289,4,6,0,0,0.09,0.85,1
technical,low,160,3,2,0,0,0.43,0.52,1
technical,medium,258,5,4,0,0,0.9,0.96,1
technical,medium,234,5,5,0,0,0.84,1.0,1
technical,medium,137,3,2,0,0,0.37,0.48,1
technical,medium,263,2,5,0,0,0.86,0.68,1
technical,low,251,4,6,0,0,0.11,0.84,1
technical,low,133,3,2,0,0,0.37,0.57,1
technical,low,132,3,2,0,0,0.4,0.46,1
technical,low,158,4,4,0,1,0.14,0.62,1
technical,low,135,3,2,0,0,0.4,0.46,1
technical,low,216,6,4,0,0,0.75,1.0,1
support,low,300,5,6,0,1,0.11,0.84,1
support,low,138,3,2,0,0,0.46,0.49,1
support,low,260,4,6,0,0,0.11,0.92,1
support,low,132,3,2,0,0,0.38,0.49,1
support,low,183,5,3,0,0,0.7,0.89,1
support,low,250,4,6,0,0,0.09,0.82,1
support,low,151,3,2,0,0,0.37,0.45,1
support,low,292,4,6,0,0,0.1,0.83,1
support,low,140,3,2,0,0,0.38,0.57,1
support,low,221,5,5,0,0,0.9,1.0,1
support,low,138,3,2,0,0,0.44,0.51,1
technical,low,132,3,2,0,0,0.36,0.5,1
technical,low,133,5,7,0,0,0.31,0.84,1
technical,low,283,4,6,0,1,0.1,0.84,1
management,low,129,3,2,0,0,0.42,0.48,1
IT,low,249,5,4,0,0,0.74,1.0,1
IT,low,257,5,5,0,0,0.73,0.87,1
IT,low,245,4,6,0,0,0.09,0.96,1
IT,low,155,3,2,0,0,0.45,0.53,1
IT,low,256,4,6,0,0,0.11,0.8,1
product_mng,low,152,3,2,0,0,0.37,0.47,1
product_mng,low,267,5,4,0,0,0.84,0.99,1
product_mng,low,151,3,2,0,0,0.41,0.46,1
product_mng,low,239,5,4,0,0,0.76,0.92,1
IT,low,306,4,6,0,0,0.11,0.87,1
marketing,low,263,5,4,0,1,0.84,0.88,1
marketing,low,147,3,2,0,0,0.39,0.5,1
marketing,low,278,4,6,0,0,0.11,0.91,1
marketing,low,154,3,2,0,0,0.45,0.56,1
marketing,low,143,3,2,0,0,0.37,0.52,1
marketing,low,155,3,2,0,0,0.4,0.52,1
sales,low,160,3,2,0,0,0.39,0.48,1
accounting,low,304,4,6,0,0,0.11,0.8,1
support,low,240,5,5,0,0,0.83,1.0,1
technical,low,305,4,6,0,0,0.11,0.92,1
management,low,136,3,2,0,0,0.39,0.5,1
marketing,low,132,3,2,0,0,0.45,0.45,1
marketing,low,301,4,7,0,0,0.1,0.95,1
marketing,low,243,6,5,0,0,0.9,0.98,1
sales,low,147,3,2,0,0,0.45,0.51,1
sales,low,239,5,5,0,0,0.79,0.89,1
sales,low,260,5,5,0,0,0.9,0.99,1
sales,low,296,4,7,0,0,0.11,0.84,1
sales,low,129,3,2,0,0,0.43,0.55,1
sales,low,132,5,5,0,0,0.31,0.54,1
sales,low,135,5,2,0,0,0.32,0.5,1
sales,low,158,3,2,0,0,0.45,0.57,1
sales,low,259,5,4,0,0,0.81,0.99,1
sales,low,160,3,2,1,0,0.41,0.46,1
sales,low,278,4,7,0,0,0.11,0.78,1
sales,low,284,4,6,0,0,0.1,0.88,1
sales,low,274,4,2,0,0,0.7,0.53,1
sales,low,164,2,4,0,0,0.54,0.74,1
sales,low,148,3,2,0,0,0.41,0.48,1
sales,medium,140,3,2,0,0,0.38,0.5,1
sales,medium,127,3,2,0,0,0.37,0.51,1
sales,medium,308,5,6,0,0,0.11,0.85,1
sales,medium,146,3,2,0,0,0.4,0.47,1
accounting,medium,261,4,6,0,0,0.1,0.84,1
accounting,medium,257,5,5,0,0,0.89,0.99,1
accounting,medium,285,4,6,0,0,0.11,0.8,1
hr,medium,141,3,2,0,0,0.36,0.55,1
hr,medium,127,3,2,0,0,0.4,0.46,1
hr,medium,297,4,6,0,0,0.09,0.85,1
hr,medium,143,3,2,0,0,0.4,0.46,1
technical,medium,152,3,2,0,0,0.37,0.55,1
technical,high,156,3,2,0,0,0.44,0.51,1
technical,low,283,5,7,0,0,0.09,0.8,1
technical,medium,226,6,4,0,1,0.92,0.87,1
technical,medium,232,5,4,0,0,0.74,0.91,1
technical,medium,249,4,6,0,0,0.09,0.82,1
technical,medium,275,5,4,0,0,0.89,0.95,1
technical,low,304,4,6,0,0,0.09,0.8,1
technical,low,278,3,7,0,0,0.27,0.54,1
technical,low,287,4,6,0,0,0.1,0.91,1
technical,low,285,4,7,0,0,0.1,0.89,1
support,low,226,6,5,0,0,0.77,0.94,1
support,low,259,5,5,0,0,0.9,0.82,1
support,low,135,3,2,0,0,0.39,0.5,1
support,low,219,5,5,0,0,0.76,1.0,1
support,low,256,4,6,0,0,0.1,0.93,1
support,low,254,6,5,0,0,0.87,0.9,1
support,low,153,3,2,0,0,0.38,0.5,1
support,low,228,5,5,0,0,0.77,0.99,1
support,low,228,5,4,0,0,0.78,0.87,1
support,low,128,3,2,0,0,0.44,0.5,1
support,low,153,3,2,0,0,0.38,0.52,1
technical,low,156,3,2,0,0,0.43,0.46,1
technical,low,294,3,4,0,0,0.39,0.5,1
technical,low,219,5,5,0,0,0.88,1.0,1
management,low,153,3,2,0,0,0.45,0.46,1
IT,low,151,3,2,0,0,0.4,0.53,1
IT,low,155,3,2,0,0,0.36,0.51,1
IT,low,158,3,2,0,0,0.36,0.48,1
IT,low,245,5,5,0,0,0.9,0.98,1
IT,low,131,3,2,0,0,0.43,0.53,1
product_mng,low,225,5,5,0,0,0.89,0.87,1
product_mng,low,286,4,6,0,0,0.1,0.84,1
product_mng,low,135,3,2,0,0,0.37,0.5,1
product_mng,low,153,3,2,0,0,0.37,0.51,1
IT,low,252,5,5,0,0,0.87,0.9,1
accounting,low,149,3,2,0,0,0.4,0.56,1
accounting,low,258,5,4,0,0,0.9,0.97,1
hr,low,158,3,2,0,0,0.37,0.46,1
hr,low,149,3,2,0,0,0.44,0.54,1
hr,low,236,5,5,0,0,0.85,0.95,1
marketing,low,239,6,5,0,0,0.78,0.98,1
marketing,low,159,3,2,0,0,0.42,0.47,1
sales,low,255,6,5,0,0,0.92,0.99,1
accounting,low,244,4,6,0,0,0.11,0.83,1
support,low,134,3,2,0,0,0.42,0.56,1
technical,low,270,4,4,0,0,0.48,0.57,1
management,low,255,5,4,0,0,0.83,0.85,1
marketing,low,151,3,2,0,0,0.4,0.53,1
marketing,low,135,3,2,0,0,0.43,0.45,1
marketing,low,146,3,2,0,0,0.43,0.53,1
sales,low,254,4,7,0,0,0.1,0.97,1
sales,low,289,4,7,0,0,0.1,0.87,1
sales,low,156,3,2,0,0,0.37,0.46,1
sales,low,156,3,2,0,0,0.38,0.53,1
sales,low,128,3,2,0,0,0.4,0.5,1
sales,low,275,5,5,0,0,0.89,0.86,1
sales,low,155,3,2,0,0,0.45,0.46,1
sales,low,159,3,2,0,0,0.37,0.48,1
sales,low,148,3,2,0,0,0.46,0.49,1
sales,low,228,5,4,0,0,0.87,0.91,1
sales,low,298,4,6,0,0,0.11,0.84,1
sales,low,261,5,5,0,0,0.79,0.87,1
sales,low,254,6,5,0,0,0.79,0.92,1
sales,low,192,3,7,0,0,0.19,0.59,1
sales,low,248,5,4,0,0,0.87,0.98,1
sales,low,258,5,2,0,0,0.6,0.92,1
sales,medium,156,3,2,0,0,0.44,0.45,1
sales,medium,266,4,6,0,1,0.11,0.81,1
sales,medium,156,3,2,0,0,0.42,0.54,1
accounting,medium,232,5,5,0,1,0.88,0.88,1
accounting,medium,287,4,6,0,0,0.11,0.84,1
accounting,medium,154,3,2,0,0,0.46,0.46,1
hr,medium,263,5,5,0,0,0.82,0.97,1
hr,medium,131,3,2,0,0,0.44,0.56,1
hr,medium,260,4,6,0,0,0.11,0.78,1
hr,medium,139,3,2,0,0,0.42,0.5,1
technical,medium,251,5,4,0,0,0.84,0.93,1
technical,medium,286,4,6,0,0,0.11,0.95,1
technical,high,129,3,2,0,0,0.45,0.53,1
technical,low,156,3,2,0,0,0.38,0.56,1
technical,medium,139,6,6,0,0,0.38,0.86,1
technical,medium,127,3,2,0,0,0.44,0.51,1
technical,medium,251,4,6,0,0,0.11,0.84,1
technical,medium,270,5,5,0,0,0.81,0.93,1
technical,low,296,4,6,0,0,0.09,0.96,1
technical,low,254,4,6,0,0,0.11,0.9,1
technical,low,238,6,5,0,0,0.81,0.95,1
support,low,267,4,6,0,1,0.1,0.97,1
support,low,229,6,5,0,0,0.74,0.89,1
support,low,254,4,6,0,0,0.09,0.78,1
support,low,233,4,4,0,1,0.82,0.81,1
support,low,268,4,6,0,0,0.1,0.98,1
support,low,301,3,3,0,0,0.27,0.56,1
support,low,267,6,5,0,0,0.83,0.92,1
support,low,289,4,6,0,1,0.1,0.93,1
support,low,144,3,2,0,0,0.38,0.47,1
support,low,148,3,2,0,0,0.4,0.56,1
support,low,306,4,6,0,0,0.11,0.83,1
technical,low,292,4,6,1,0,0.11,0.79,1
technical,low,232,5,5,0,0,0.82,0.91,1
technical,low,137,3,2,0,0,0.36,0.48,1
management,low,128,3,2,0,0,0.4,0.46,1
IT,low,231,5,5,0,0,0.87,0.84,1
IT,low,146,3,2,0,0,0.41,0.49,1
IT,low,308,4,6,0,1,0.11,0.91,1
IT,medium,253,4,6,0,0,0.1,0.93,1
IT,medium,146,3,2,0,0,0.38,0.51,1
product_mng,medium,156,3,2,0,0,0.39,0.55,1
product_mng,medium,147,3,2,0,0,0.4,0.52,1
product_mng,medium,136,3,2,0,0,0.45,0.48,1
product_mng,medium,249,5,5,0,0,0.74,0.84,1
IT,medium,151,3,2,0,0,0.45,0.55,1
RandD,medium,278,4,3,0,0,0.12,1.0,1
RandD,medium,250,5,7,0,0,0.1,0.77,1
RandD,medium,127,3,2,0,0,0.37,0.55,1
RandD,medium,255,5,5,0,0,0.89,0.87,1
RandD,medium,135,3,2,0,0,0.45,0.47,1
marketing,high,149,3,2,0,0,0.37,0.46,1
sales,low,287,4,5,0,0,0.11,0.81,1
accounting,medium,145,3,2,0,0,0.41,0.48,1
support,medium,285,4,6,0,0,0.1,0.94,1
technical,medium,305,4,7,0,0,0.1,0.93,1
management,medium,300,4,7,0,0,0.11,0.95,1
marketing,low,139,3,2,0,0,0.4,0.54,1
marketing,low,130,3,2,0,0,0.41,0.49,1
marketing,low,268,4,6,0,0,0.1,0.81,1
sales,low,245,6,4,0,0,0.73,0.86,1
sales,low,135,3,2,0,0,0.43,0.47,1
sales,low,153,3,2,0,0,0.37,0.46,1
sales,low,276,4,6,0,0,0.11,0.94,1
sales,low,130,3,2,0,0,0.4,0.46,1
sales,low,153,3,2,0,1,0.41,0.54,1
sales,low,244,5,5,0,0,0.82,0.84,1
sales,low,253,3,2,0,0,0.61,0.47,1
sales,low,287,4,7,0,0,0.11,0.91,1
sales,low,131,3,2,0,0,0.37,0.45,1
sales,low,135,3,2,0,0,0.41,0.52,1
sales,low,157,3,2,0,0,0.37,0.52,1
sales,low,262,6,5,0,0,0.88,0.99,1
sales,low,266,4,6,0,0,0.1,0.85,1
sales,low,148,3,2,0,0,0.44,0.48,1
sales,low,140,3,2,0,0,0.38,0.57,1
sales,low,302,4,7,0,0,0.11,0.85,1
sales,low,271,4,6,0,0,0.09,0.98,1
sales,medium,145,3,2,0,0,0.45,0.52,1
accounting,medium,290,4,6,0,0,0.1,0.81,1
accounting,medium,151,3,2,0,0,0.45,0.47,1
accounting,medium,266,5,5,0,0,0.77,0.87,1
hr,medium,140,3,2,0,0,0.44,0.51,1
hr,medium,142,3,2,0,0,0.39,0.5,1
hr,medium,246,4,6,0,0,0.1,0.91,1
hr,medium,308,5,7,0,0,0.09,0.89,1
technical,medium,141,3,2,0,0,0.37,0.47,1
technical,medium,232,5,5,0,0,0.9,1.0,1
technical,medium,143,3,2,0,0,0.41,0.56,1
technical,medium,155,3,2,0,0,0.37,0.52,1
technical,high,278,4,6,0,0,0.1,0.86,1
technical,low,253,5,4,0,0,0.81,1.0,1
technical,medium,282,4,6,0,0,0.11,0.8,1
technical,medium,264,4,7,0,0,0.11,0.84,1
technical,medium,149,3,2,0,0,0.4,0.46,1
technical,medium,304,5,6,0,0,0.09,0.8,1
technical,low,219,6,3,0,0,0.48,0.93,1
support,low,262,6,4,0,0,0.91,0.91,1
support,low,135,3,2,0,0,0.43,0.57,1
support,low,219,5,6,0,0,0.33,0.88,1
support,low,136,3,2,0,0,0.41,0.57,1
support,low,154,3,2,0,0,0.41,0.55,1
support,low,149,3,2,0,0,0.37,0.54,1
support,low,135,5,6,0,0,0.31,0.62,1
support,low,275,4,6,0,0,0.09,0.91,1
support,low,290,4,6,0,0,0.1,0.87,1
support,low,263,5,4,0,0,0.76,0.9,1
support,low,145,3,2,0,0,0.41,0.54,1
technical,low,267,5,5,0,0,0.72,0.96,1
technical,low,141,3,2,0,1,0.4,0.5,1
technical,low,235,5,4,0,0,0.91,0.87,1
management,low,258,4,6,0,0,0.1,0.83,1
IT,low,131,3,2,0,0,0.4,0.56,1
IT,low,243,5,5,0,0,0.82,0.86,1
IT,low,266,4,6,0,0,0.1,0.82,1
IT,low,142,3,2,0,0,0.37,0.45,1
IT,low,135,3,2,0,0,0.36,0.51,1
product_mng,medium,141,3,2,0,0,0.39,0.48,1
product_mng,medium,142,3,2,0,0,0.36,0.57,1
product_mng,medium,254,5,5,0,0,0.86,0.84,1
product_mng,medium,262,5,5,0,0,0.73,0.99,1
IT,medium,296,2,4,0,0,0.56,0.71,1
accounting,medium,158,3,2,0,0,0.44,0.56,1
accounting,medium,238,2,4,0,0,0.31,0.56,1
hr,medium,231,5,4,0,0,0.77,0.93,1
hr,medium,156,3,2,0,0,0.44,0.45,1
hr,medium,145,3,2,0,0,0.38,0.46,1
marketing,medium,144,3,2,0,0,0.45,0.48,1
sales,medium,159,3,2,0,0,0.38,0.51,1
accounting,high,156,3,2,0,0,0.36,0.48,1
support,low,256,5,5,0,0,0.75,0.9,1
technical,medium,298,4,6,0,0,0.1,0.93,1
management,medium,247,4,6,0,0,0.1,0.97,1
marketing,medium,157,3,2,0,0,0.45,0.5,1
marketing,medium,154,3,2,0,1,0.42,0.57,1
marketing,low,253,5,4,0,0,0.78,1.0,1
sales,low,148,3,2,0,0,0.45,0.55,1
sales,low,261,5,4,0,0,0.84,1.0,1
sales,low,282,4,6,0,0,0.11,0.93,1
sales,low,133,3,2,0,0,0.42,0.56,1
sales,low,128,3,2,0,0,0.45,0.46,1
sales,low,139,3,2,0,0,0.46,0.57,1
sales,low,293,5,6,0,0,0.09,0.79,1
sales,low,265,6,4,0,0,0.87,0.83,1
sales,low,250,4,6,0,0,0.1,0.87,1
sales,low,251,6,5,0,0,0.91,1.0,1
sales,low,246,5,4,0,0,0.76,0.92,1
sales,low,275,5,5,0,0,0.74,1.0,1
sales,low,240,5,5,0,0,0.92,0.93,1
sales,low,245,5,5,0,0,0.76,0.87,1
sales,low,254,4,4,0,0,0.47,0.5,1
sales,low,241,5,5,0,0,0.73,0.99,1
sales,low,257,4,6,0,0,0.09,0.94,1
sales,low,246,5,4,0,0,0.91,0.92,1
sales,low,233,5,4,0,0,0.82,0.98,1
accounting,low,218,4,6,0,0,0.28,0.45,1
accounting,medium,262,6,4,0,0,0.84,0.99,1
accounting,medium,138,3,2,0,0,0.45,0.53,1
hr,medium,142,3,2,0,0,0.45,0.54,1
hr,medium,233,5,5,0,0,0.91,0.97,1
hr,medium,155,3,2,0,0,0.42,0.48,1
hr,medium,229,6,4,0,0,0.82,1.0,1
technical,medium,264,4,6,0,0,0.11,0.9,1
technical,medium,199,4,3,0,0,0.42,0.53,1
technical,medium,223,5,4,0,0,0.82,0.85,1
technical,medium,268,4,6,0,0,0.09,0.96,1
technical,medium,287,4,6,0,0,0.1,0.94,1
technical,medium,257,5,5,0,0,0.86,1.0,1
technical,high,143,3,2,0,0,0.4,0.46,1
technical,low,130,3,2,0,0,0.45,0.46,1
technical,medium,136,3,2,0,0,0.42,0.51,1
technical,medium,261,5,4,0,0,0.74,0.92,1
technical,medium,180,4,3,0,0,0.55,0.6,1
support,medium,126,3,2,0,0,0.37,0.45,1
support,low,127,3,2,0,1,0.41,0.52,1
support,low,195,6,5,0,0,0.89,0.65,1
support,low,160,3,2,0,0,0.41,0.57,1
support,low,150,3,2,0,0,0.44,0.51,1
support,low,264,6,4,0,0,0.87,0.84,1
support,low,309,4,6,0,0,0.1,0.84,1
support,low,135,3,2,0,0,0.41,0.47,1
support,low,261,4,6,0,0,0.11,0.85,1
support,low,160,3,2,0,0,0.43,0.53,1
support,low,237,5,4,0,0,0.77,0.9,1
technical,low,136,3,2,0,0,0.41,0.52,1
technical,low,139,3,2,0,0,0.41,0.48,1
technical,low,151,4,2,0,0,0.36,0.78,1
management,low,229,5,5,0,0,0.77,1.0,1
IT,low,245,5,5,0,0,0.81,0.98,1
IT,low,127,3,2,0,0,0.39,0.54,1
IT,low,283,5,6,0,0,0.09,0.94,1
IT,low,143,3,2,0,0,0.44,0.46,1
IT,low,298,4,5,0,0,0.1,0.84,1
product_mng,low,159,3,2,0,0,0.36,0.48,1
product_mng,low,239,5,5,0,0,0.81,0.92,1
product_mng,medium,226,5,4,0,0,0.81,0.9,1
product_mng,medium,248,5,5,0,0,0.85,0.98,1
IT,medium,286,4,6,0,0,0.1,0.87,1
RandD,medium,145,3,2,0,0,0.37,0.54,1
RandD,medium,254,4,7,0,1,0.09,0.97,1
RandD,medium,127,3,2,0,0,0.44,0.53,1
RandD,medium,223,5,5,0,0,0.86,0.93,1
RandD,medium,255,5,4,0,0,0.77,1.0,1
marketing,medium,136,3,2,0,0,0.41,0.48,1
sales,medium,137,3,2,0,0,0.4,0.48,1
accounting,medium,135,3,2,0,0,0.43,0.49,1
support,medium,137,3,2,0,0,0.43,0.5,1
technical,high,255,5,3,0,0,0.8,0.53,1
management,low,273,5,4,0,0,0.8,0.85,1
marketing,medium,234,5,5,0,0,0.82,0.98,1
marketing,medium,152,3,2,0,0,0.37,0.54,1
marketing,medium,134,3,2,0,0,0.37,0.48,1
sales,medium,292,4,6,0,0,0.09,0.95,1
sales,low,245,5,5,0,0,0.9,0.92,1
sales,low,159,3,2,0,0,0.41,0.52,1
sales,low,260,4,6,0,0,0.1,0.85,1
sales,low,149,3,2,0,0,0.44,0.53,1
sales,low,266,5,5,0,0,0.89,0.85,1
sales,low,149,3,2,0,0,0.42,0.56,1
sales,low,242,5,5,0,0,0.87,1.0,1
sales,low,134,3,2,0,0,0.45,0.57,1
sales,low,271,4,5,0,0,0.11,0.87,1
sales,low,275,4,6,0,0,0.09,0.79,1
sales,low,227,5,5,0,0,0.76,0.83,1
sales,low,277,5,7,0,0,0.11,0.96,1
sales,low,151,3,2,0,0,0.37,0.49,1
sales,low,274,4,6,0,0,0.1,0.79,1
sales,low,242,6,4,0,0,0.77,0.87,1
sales,low,143,3,2,0,1,0.42,0.54,1
sales,low,145,3,2,0,0,0.38,0.52,1
sales,low,172,2,5,0,0,0.32,0.95,1
accounting,low,135,3,2,0,0,0.38,0.49,1
accounting,low,192,4,4,0,0,0.19,1.0,1
accounting,low,276,4,7,0,0,0.1,0.83,1
hr,medium,206,4,4,0,0,0.76,0.88,1
hr,medium,281,6,4,0,0,0.53,0.56,1
hr,medium,151,3,2,0,0,0.39,0.51,1
hr,medium,244,4,6,0,0,0.11,0.83,1
technical,medium,309,4,6,0,0,0.1,0.94,1
technical,medium,218,5,5,0,0,0.84,1.0,1
technical,medium,263,6,4,0,0,0.82,0.99,1
technical,medium,244,4,6,0,0,0.1,0.82,1
technical,medium,263,4,7,0,0,0.59,0.49,1
technical,medium,143,3,2,0,0,0.44,0.48,1
technical,medium,181,5,2,0,0,0.89,0.95,1
technical,medium,265,5,5,0,0,0.91,0.84,1
technical,high,161,5,5,0,0,0.66,0.57,1
technical,low,282,5,7,0,0,0.11,0.87,1
technical,medium,155,3,2,0,0,0.43,0.51,1
support,medium,217,6,4,0,0,0.78,0.83,1
support,medium,289,5,6,0,0,0.11,0.97,1
support,medium,259,5,4,0,0,0.83,0.98,1
support,low,158,3,2,0,0,0.39,0.54,1
support,low,158,3,2,0,0,0.38,0.55,1
support,low,155,3,2,0,0,0.37,0.57,1
support,low,146,3,2,0,0,0.44,0.48,1
support,low,164,5,2,0,0,0.53,0.85,1
support,low,259,4,6,0,0,0.09,0.96,1
support,low,293,4,6,0,0,0.11,0.89,1
support,low,275,5,5,0,0,0.83,0.96,1
technical,low,219,6,5,0,1,0.88,1.0,1
technical,low,247,4,6,0,0,0.1,0.89,1
technical,low,309,4,7,0,0,0.09,0.86,1
management,low,151,3,2,0,0,0.44,0.54,1
IT,low,129,3,2,0,0,0.39,0.51,1
IT,low,274,5,4,0,0,0.87,0.94,1
IT,low,233,5,4,0,0,0.74,0.99,1
IT,low,289,4,7,0,0,0.1,0.95,1
IT,low,239,6,4,0,0,0.74,0.82,1
product_mng,low,221,5,5,0,0,0.75,0.99,1
product_mng,low,150,3,2,0,0,0.41,0.56,1
product_mng,low,144,3,2,0,1,0.41,0.45,1
product_mng,low,289,4,7,0,0,0.09,0.9,1
IT,medium,301,5,6,0,0,0.09,0.8,1
accounting,medium,145,3,2,0,0,0.39,0.57,1
accounting,medium,137,3,2,0,0,0.4,0.56,1
hr,medium,131,3,2,0,1,0.37,0.54,1
hr,medium,246,4,6,0,0,0.1,0.84,1
hr,medium,136,3,2,0,0,0.43,0.51,1
marketing,medium,240,6,5,0,1,0.75,0.85,1
sales,medium,156,3,2,0,0,0.37,0.56,1
accounting,medium,305,4,6,0,0,0.11,0.85,1
support,medium,154,3,2,0,1,0.45,0.45,1
technical,medium,261,5,5,0,1,0.87,1.0,1
management,medium,244,4,7,0,0,0.11,0.94,1
marketing,high,129,3,2,0,0,0.45,0.54,1
marketing,low,254,5,4,0,0,0.81,0.87,1
marketing,medium,236,5,5,0,0,0.77,0.91,1
sales,medium,237,5,5,0,0,0.89,0.92,1
sales,medium,135,3,2,0,0,0.43,0.49,1
sales,medium,236,5,5,0,0,0.78,1.0,1
sales,low,149,3,2,0,0,0.37,0.47,1
